Combination,Wins,Losses,Total Games
"('Graves', ""Kai'Sa"", 'Renekton', 'Skarner', 'Zoe')",2,0,2
"('Graves', 'Leona', 'Sylas', 'Varus', 'Zac')",2,0,2
"('Akali', 'Blitzcrank', 'Gangplank', 'Graves', 'Varus')",0,2,2
"('Jinx', 'Karthus', ""Rek'Sai"", 'Renekton', 'Thresh')",0,2,2
"('Jinx', 'Nidalee', 'Pantheon', 'Thresh', 'Urgot')",0,2,2
"('Lillia', 'Pantheon', 'Thresh', 'Twisted Fate', 'Varus')",0,2,2
"('Darius', 'Karthus', 'Thresh', 'Varus', 'Zed')",0,2,2
"('Cassiopeia', 'Corki', 'Hwei', ""K'Sante"", 'Lee Sin')",2,0,2
"('Ashe', 'Braum', 'Jayce', 'Taliyah', 'Viego')",2,0,2
"('Akshan', 'Bard', 'Caitlyn', 'Jayce', 'Taliyah')",0,2,2
"('Camille', 'Kalista', 'Katarina', 'Nautilus', 'Nidalee')",2,0,2
"('Camille', 'Jhin', 'Pantheon', 'Rell', 'Twisted Fate')",0,2,2
"('Brand', 'Jayce', 'Jinx', 'Thresh', 'Yone')",2,0,2
"('Ashe', ""Bel'Veth"", 'Skarner', 'Twisted Fate', 'Varus')",2,0,2
"('Irelia', 'Lillia', 'Lucian', 'Rell', 'Tristana')",0,2,2
"('Jax', 'Jinx', ""K'Sante"", 'Orianna', 'Rell')",2,0,2
"('Jinx', 'Lee Sin', 'Rumble', 'Thresh', 'Yasuo')",0,2,2
"('Corki', 'Darius', 'Hwei', 'Rell', 'Vi')",2,0,2
"('Akshan', 'Cassiopeia', 'Diana', 'Jhin', 'Rell')",0,2,2
"('Ashe', 'Camille', 'Katarina', 'Lee Sin', 'Varus')",0,2,2
"(""Kai'Sa"", 'Lee Sin', 'Leona', 'Lillia', 'Rumble')",0,2,2
"('Camille', 'Galio', 'Jinx', 'Orianna', 'Vi')",2,0,2
"('Corki', 'Jinx', ""K'Sante"", 'Rell', 'Taliyah')",0,2,2
"('Camille', 'Draven', 'Lissandra', 'Taliyah', 'Thresh')",2,0,2
"('Dr. Mundo', 'Gragas', 'Jinx', 'Maokai', 'Viego')",2,0,2
"(""Kai'Sa"", 'Seraphine', 'Sylas', 'Vayne', 'Vi')",2,0,2
"('Braum', 'Darius', 'Katarina', 'Nidalee', 'Zeri')",2,0,2
"('Gragas', 'Jinx', 'Katarina', 'Lee Sin', 'Thresh')",0,2,2
"('Aphelios', 'Jayce', 'Katarina', 'Pantheon', 'Shen')",0,2,2
"('Hwei', ""Kai'Sa"", 'Kindred', 'Nautilus', 'Rumble')",0,2,2
"('Gragas', 'Graves', ""Kai'Sa"", 'Katarina', 'Pyke')",2,0,2
"(""Kai'Sa"", 'Leona', 'Skarner', 'Taliyah', 'Tristana')",0,2,2
"('Akshan', 'Blitzcrank', 'Jhin', ""K'Sante"", 'Lillia')",0,2,2
"('Jayce', 'Kalista', 'Karthus', 'Nautilus', 'Skarner')",0,2,2
"('Ezreal', 'Graves', 'Gwen', 'Katarina', 'Pyke')",2,0,2
"('Katarina', 'Nautilus', 'Nidalee', 'Rengar', 'Samira')",2,0,2
"('Draven', 'Hecarim', 'Jax', 'Pyke', 'Yasuo')",2,0,2
"('Nidalee', 'Nilah', 'Qiyana', 'Renekton', 'Seraphine')",2,0,2
"('Jax', 'Jayce', 'Lux', 'Nidalee', 'Varus')",0,2,2
"('Camille', 'Jhin', 'Lillia', 'Lissandra', 'Rengar')",2,0,2
"('Brand', 'Jayce', 'Rengar', 'Seraphine', 'Thresh')",2,0,2
"('Aphelios', 'Blitzcrank', 'Lee Sin', 'Rumble', 'Zoe')",0,2,2
"('Jax', 'Neeko', 'Nilah', 'Pantheon', 'Skarner')",2,0,2
"('Fiora', 'Lillia', 'Rakan', 'Samira', 'Twisted Fate')",0,2,2
"('Hwei', 'Nautilus', ""Rek'Sai"", 'Senna', 'Viego')",0,2,2
"('Camille', 'Jinx', ""K'Sante"", 'Skarner', 'Sylas')",2,0,2
"('Aphelios', 'Camille', 'Lulu', 'Rakan', 'Xin Zhao')",0,2,2
"('Jhin', 'Neeko', 'Rengar', 'Tahm Kench', 'Viego')",2,0,2
"('Corki', 'Jax', 'Nautilus', 'Nidalee', 'Twitch')",2,0,2
"(""K'Sante"", 'Lillia', 'Nautilus', 'Senna', 'Yone')",2,0,2
"('Caitlyn', 'Jayce', 'Nidalee', 'Skarner', 'Zyra')",0,2,2
"('Jinx', 'Karthus', 'Sion', 'Thresh', 'Tristana')",2,0,2
"('Heimerdinger', 'Nidalee', 'Smolder', 'Sona', 'Viego')",0,2,2
"('Graves', 'Pantheon', 'Pyke', 'Rumble', 'Smolder')",2,0,2
"('Draven', 'Hwei', 'Kennen', 'Poppy', 'Rakan')",0,2,2
"('Braum', 'Camille', 'Smolder', 'Syndra', 'Viego')",2,0,2
"('Ashe', ""K'Sante"", 'Taliyah', 'Varus', 'Yone')",2,0,2
"('LeBlanc', 'Leona', 'Smolder', 'Viego', 'Zac')",0,2,2
"('Amumu', 'Hwei', ""K'Sante"", ""Kai'Sa"", 'Rell')",2,0,2
"('Ashe', 'Corki', 'Kindred', 'Rengar', 'Thresh')",0,2,2
"('Aurelion Sol', 'Corki', 'Rengar', 'Thresh', 'Xin Zhao')",2,0,2
"('Braum', 'Cassiopeia', 'Draven', 'Elise', 'Tristana')",2,0,2
"('Karma', 'Skarner', 'Syndra', 'Varus', 'Zac')",2,0,2
"('LeBlanc', 'Leona', 'Viego', 'Yone', 'Ziggs')",2,0,2
"('Graves', 'Jhin', 'Kennen', 'Rell', 'Yone')",2,0,2
"('Corki', 'Poppy', 'Rengar', 'Tristana', 'Vi')",2,0,2
"('Blitzcrank', 'Lillia', 'Rengar', 'Tristana', 'Zeri')",2,0,2
"('Kindred', 'Rakan', 'Rengar', 'Twisted Fate', 'Zeri')",2,0,2
"('Ashe', 'Braum', 'Taliyah', 'Tryndamere', 'Yasuo')",2,0,2
"('Hwei', 'Jayce', 'Rakan', 'Skarner', 'Varus')",2,0,2
"('Diana', 'Fiora', 'Leona', 'Lucian', 'Yasuo')",2,0,2
"('Ahri', 'Jinx', 'Kindred', 'Nautilus', 'Yone')",0,2,2
"('Jinx', 'Kindred', 'Nautilus', 'Rengar', 'Syndra')",0,2,2
"('Ezreal', 'Graves', 'Renekton', 'Seraphine', 'Syndra')",0,2,2
"('Aphelios', 'Galio', 'Kindred', 'Rengar', 'Thresh')",2,0,2
"('Irelia', 'Rengar', ""Vel'Koz"", 'Viego', 'Zilean')",2,0,2
"('Rumble', 'Seraphine', 'Varus', 'Viego', 'Yone')",0,2,2
"('Braum', 'Illaoi', ""Rek'Sai"", 'Sylas', 'Twitch')",0,2,2
"(""Kai'Sa"", 'Leona', 'Nidalee', 'Olaf', 'Tristana')",0,2,2
"('Cassiopeia', 'Lucian', 'Nami', 'Vex', 'Viego')",2,0,2
"('Kindred', 'Nautilus', 'Rengar', 'Twitch', 'Zoe')",2,0,2
"('Caitlyn', 'Hwei', 'Rakan', 'Rumble', 'Skarner')",2,0,2
"('Alistar', 'Jhin', 'Karthus', 'Ornn', 'Yasuo')",0,2,2
"('Kindred', 'Lucian', 'Malphite', 'Nami', 'Rengar')",0,2,2
"('Ashe', 'Irelia', 'Karma', 'Maokai', 'Tristana')",2,0,2
"('Blitzcrank', 'Draven', 'Hwei', 'Rengar', 'Viego')",0,2,2
"('Neeko', 'Rengar', 'Viego', 'Xayah', 'Zoe')",0,2,2
"('Gangplank', 'Katarina', 'Neeko', 'Varus', 'Xin Zhao')",0,2,2
"('Draven', 'Nidalee', 'Rell', 'Skarner', 'Tristana')",2,0,2
"('Lucian', 'Nami', 'Nidalee', 'Sion', 'Yone')",2,0,2
"('Galio', 'Kalista', 'Renekton', 'Twisted Fate', 'Viego')",0,2,2
"('Aphelios', 'Hwei', 'Jax', 'Nautilus', 'Skarner')",0,2,2
"('Graves', 'Hwei', ""Kai'Sa"", 'Nautilus', 'Ornn')",0,2,2
"('Ashe', 'Lulu', 'Skarner', 'Vex', 'Yasuo')",0,2,2
"('Brand', 'Corki', 'Kled', 'Thresh', 'Zeri')",2,0,2
"('Alistar', 'Brand', 'Pantheon', 'Skarner', 'Zeri')",2,0,2
"('Aatrox', 'Blitzcrank', 'Hwei', ""Kai'Sa"", 'Nidalee')",2,0,2
"('Hwei', 'Nautilus', 'Nidalee', 'Skarner', 'Tristana')",0,2,2
"(""Kai'Sa"", 'Nidalee', 'Poppy', 'Thresh', 'Tryndamere')",0,2,2
"('Ezreal', 'Karthus', 'Pantheon', 'Senna', 'Tristana')",0,2,2
"('Hwei', ""Rek'Sai"", 'Senna', 'Smolder', 'Xin Zhao')",0,2,2
"(""Cho'Gath"", 'Gragas', 'Lee Sin', 'Rell', 'Tristana')",2,0,2
"('Aatrox', ""Bel'Veth"", 'Braum', 'Hwei', 'Vayne')",0,2,2
"('Blitzcrank', 'Caitlyn', 'Fiora', ""Kha'Zix"", 'Syndra')",0,2,2
"('Camille', ""Kai'Sa"", 'Renekton', 'Rumble', 'Twisted Fate')",2,0,2
"('Hecarim', 'Pyke', 'Vayne', 'Vex', 'Ziggs')",0,2,2
"('Jax', ""Kai'Sa"", 'Nautilus', 'Taliyah', 'Twisted Fate')",2,0,2
"('Jhin', 'Renekton', 'Taliyah', 'Thresh', 'Viktor')",2,0,2
"('Kindred', 'Lux', 'Malphite', 'Tristana', 'Varus')",2,0,2
"('Brand', 'Corki', 'Nasus', 'Rumble', 'Twitch')",0,2,2
"(""K'Sante"", 'Nautilus', 'Taliyah', 'Varus', 'Yone')",0,2,2
"('Aurelion Sol', 'Lucian', 'Nami', 'Viego', 'Yorick')",2,0,2
"('Ahri', 'Corki', 'Graves', 'Leona', 'Vayne')",0,2,2
"('Gnar', 'Nautilus', 'Nidalee', 'Xayah', 'Zed')",2,0,2
"('Braum', 'Karthus', 'Lucian', 'Renekton', 'Tristana')",0,2,2
"('Corki', 'Morgana', 'Rell', 'Samira', 'Skarner')",0,2,2
"('Corki', 'Dr. Mundo', 'Heimerdinger', 'Kindred', 'Skarner')",2,0,2
"('Alistar', 'Nidalee', 'Olaf', 'Smolder', 'Talon')",0,2,2
"('Hwei', 'Karma', ""Kha'Zix"", 'Nasus', 'Smolder')",2,0,2
"('Gwen', 'Hwei', 'Pantheon', 'Samira', 'Skarner')",0,2,2
"('Aatrox', 'Ekko', 'Jinx', 'Nautilus', 'Twisted Fate')",2,0,2
"('Darius', 'Draven', 'Lulu', 'Taliyah', 'Zed')",2,0,2
"('Corki', 'Draven', 'Elise', 'Jax', 'Renata Glasc')",0,2,2
"('Fiora', 'Hwei', 'Rengar', 'Seraphine', 'Varus')",2,0,2
"('Akshan', 'Draven', 'Jax', 'Karthus', 'Renata Glasc')",0,2,2
"('Kennen', 'Kindred', 'Nautilus', 'Qiyana', 'Smolder')",0,2,2
"('Akshan', 'Draven', 'Gnar', 'Karthus', 'Nautilus')",2,0,2
"('Bard', 'Jhin', 'Lillia', 'Tristana', 'Yasuo')",2,0,2
"('Gwen', 'Kalista', 'Renata Glasc', 'Sylas', 'Yasuo')",2,0,2
"('Hwei', 'Janna', 'Kled', 'Lee Sin', 'Xayah')",0,2,2
"('Neeko', 'Sett', 'Sivir', 'Udyr', 'Yasuo')",0,2,2
"('Cassiopeia', 'Jhin', 'Maokai', 'Rumble', 'Tristana')",0,2,2
"('Jinx', 'Skarner', 'Thresh', 'Vex', 'Viego')",0,2,2
"('Blitzcrank', 'Irelia', 'Jinx', 'Taliyah', 'Tristana')",2,0,2
"('Aatrox', 'Akshan', 'Corki', 'Evelynn', 'Renata Glasc')",0,2,2
"('Camille', ""Kai'Sa"", 'Karthus', 'Nautilus', 'Zed')",2,0,2
"('Brand', 'Fiddlesticks', 'Rakan', 'Skarner', 'Vayne')",0,2,2
"(""Kai'Sa"", 'LeBlanc', 'Renekton', 'Skarner', 'Thresh')",0,2,2
"('LeBlanc', 'Nocturne', 'Rakan', 'Viego', 'Zeri')",2,0,2
"('Akshan', 'Brand', ""K'Sante"", 'Nautilus', 'Zeri')",2,0,2
"('Alistar', 'Camille', 'Hwei', 'Lee Sin', 'Zeri')",2,0,2
"('Ashe', 'Corki', 'Lillia', 'Swain', 'Viego')",0,2,2
"('Braum', 'Ezreal', 'Graves', 'LeBlanc', 'Skarner')",0,2,2
"('Aurelion Sol', 'Heimerdinger', ""Kha'Zix"", 'Pyke', 'Tryndamere')",2,0,2
"('Rell', 'Samira', 'Syndra', 'Xin Zhao', 'Yone')",2,0,2
"('Jayce', ""Kai'Sa"", 'Nautilus', 'Poppy', 'Twisted Fate')",2,0,2
"(""Kai'Sa"", 'LeBlanc', 'Pantheon', 'Rakan', 'Sejuani')",2,0,2
"('Jinx', 'Taliyah', 'Teemo', 'Thresh', 'Viego')",2,0,2
"('Galio', 'Kalista', 'Lee Sin', 'Nasus', 'Yone')",2,0,2
"('Karthus', 'Senna', 'Taric', 'Tristana', 'Varus')",0,2,2
"('Ashe', 'LeBlanc', 'Lee Sin', 'Varus', 'Yone')",0,2,2
"('Corki', ""Kai'Sa"", 'Karthus', 'Rell', 'Twisted Fate')",2,0,2
"('Jayce', 'Kalista', 'Karthus', 'Neeko', 'Poppy')",0,2,2
"('Ahri', 'Ashe', 'Kennen', 'Nautilus', 'Viego')",2,0,2
"('Akshan', 'Hwei', 'Kalista', 'Mordekaiser', 'Vi')",0,2,2
"('Galio', ""Kai'Sa"", 'Renekton', 'Taliyah', 'Vi')",0,2,2
"('Aatrox', 'Ashe', 'Katarina', 'Poppy', 'Viego')",2,0,2
"('Kennen', 'Neeko', 'Shaco', 'Twisted Fate', 'Varus')",2,0,2
"('Dr. Mundo', 'Hwei', 'Jhin', 'Neeko', ""Rek'Sai"")",2,0,2
"('Jax', ""Kai'Sa"", 'Lee Sin', 'Nautilus', 'Zoe')",0,2,2
"('Hwei', 'Lucian', 'Neeko', ""Rek'Sai"", 'Tristana')",2,0,2
"('Gnar', 'Nautilus', ""Rek'Sai"", 'Rumble', 'Senna')",0,2,2
"('Corki', 'Graves', 'Master Yi', 'Nautilus', 'Taliyah')",2,0,2
"('Lillia', 'Rumble', 'Skarner', 'Tristana', 'Varus')",0,2,2
"('LeBlanc', 'Malphite', 'Rengar', 'Taric', 'Varus')",2,0,2
"('Blitzcrank', 'Cassiopeia', ""Kai'Sa"", ""Rek'Sai"", 'Tryndamere')",2,0,2
"('Hwei', 'Jhin', ""Kha'Zix"", 'Skarner', 'Soraka')",0,2,2
"('Aphelios', 'Corki', 'Dr. Mundo', ""Rek'Sai"", 'Thresh')",2,0,2
"('Irelia', 'Nidalee', 'Seraphine', 'Skarner', 'Zeri')",2,0,2
"('Corki', 'Kindred', 'LeBlanc', 'Rakan', 'Skarner')",0,2,2
"('Ahri', 'Corki', 'Kindred', 'Pyke', 'Urgot')",2,0,2
"('Alistar', 'Aurelion Sol', 'Gangplank', 'Graves', 'Xayah')",2,0,2
"('Anivia', 'Braum', 'Kalista', 'Skarner', 'Viego')",0,2,2
"('Caitlyn', 'Jax', 'Kindred', 'LeBlanc', 'Seraphine')",2,0,2
"('Akali', 'Bard', 'Draven', 'Gwen', ""Rek'Sai"")",2,0,2
"('Blitzcrank', 'Corki', 'Hecarim', 'Hwei', 'Malphite')",0,2,2
"('Gragas', 'Karma', 'Rengar', 'Twisted Fate', 'Zeri')",2,0,2
"('LeBlanc', 'Rell', 'Viego', 'Xin Zhao', 'Zeri')",2,0,2
"('Aatrox', 'Akshan', 'Lillia', 'Rell', 'Samira')",2,0,2
"('Ahri', 'Irelia', 'Jinx', 'Naafiri', 'Nautilus')",0,2,2
"('Alistar', 'Jhin', ""Rek'Sai"", 'Riven', 'Taliyah')",0,2,2
"('Akali', 'Ashe', 'Graves', 'Taliyah', 'Zyra')",2,0,2
"('Aurelion Sol', 'Bard', 'Jinx', 'Nidalee', 'Renekton')",2,0,2
"('Graves', 'Lulu', 'Poppy', 'Varus', 'Vex')",2,0,2
"('Jhin', ""K'Sante"", 'Rengar', 'Volibear', 'Zyra')",0,2,2
"('Ahri', ""K'Sante"", 'Nautilus', 'Varus', 'Xin Zhao')",2,0,2
"('Aphelios', 'Irelia', 'Syndra', 'Thresh', 'Viego')",2,0,2
"('Blitzcrank', ""K'Sante"", ""Kai'Sa"", 'Nidalee', 'Tristana')",2,0,2
"('Aatrox', 'Gragas', 'Lucian', 'Nami', 'Yone')",2,0,2
"('Ashe', 'Gnar', 'Hwei', 'Rumble', 'Viego')",0,2,2
"('Janna', 'Nidalee', 'Renekton', 'Tristana', 'Varus')",2,0,2
"('Jax', 'Nautilus', 'Taliyah', 'Varus', 'Yasuo')",2,0,2
"('Camille', 'Jayce', ""Kai'Sa"", 'Karthus', 'Nautilus')",2,0,2
"('Corki', 'Kindred', 'Pyke', 'Taliyah', 'Viego')",2,0,2
"('Aatrox', 'Ahri', ""Rek'Sai"", 'Rell', 'Samira')",2,0,2
"('Aurelion Sol', 'Camille', 'Kennen', 'Nunu & Willump', ""Rek'Sai"")",2,0,2
"('Kindred', 'Nautilus', 'Tryndamere', 'Varus', 'Vex')",0,2,2
"('Alistar', 'Gragas', 'Kindred', 'Smolder', 'Syndra')",0,2,2
"('Cassiopeia', 'Hecarim', 'Kled', 'Pyke', 'Seraphine')",0,2,2
"('Akshan', 'Camille', 'Hwei', 'Jinx', 'Viego')",2,0,2
"('Azir', 'Galio', 'Jhin', ""Kha'Zix"", 'Malphite')",2,0,2
"('Ashe', 'Jax', 'Jhin', 'Twisted Fate', 'Zyra')",2,0,2
"('Hwei', 'LeBlanc', ""Rek'Sai"", 'Urgot', 'Varus')",0,2,2
"('Hwei', ""K'Sante"", 'Rengar', 'Rumble', 'Varus')",2,0,2
"('Dr. Mundo', 'Galio', 'Hecarim', 'Jinx', 'Poppy')",2,0,2
"('Cassiopeia', 'Jax', 'Jhin', 'Neeko', 'Rakan')",0,2,2
"('Ashe', 'Braum', 'Corki', 'Dr. Mundo', 'Hecarim')",2,0,2
"('Alistar', 'Corki', 'Gnar', 'Hwei', 'Udyr')",2,0,2
"('Cassiopeia', 'Ekko', 'Fiora', 'Nautilus', 'Yasuo')",0,2,2
"('Hwei', 'Jax', 'Nautilus', ""Rek'Sai"", 'Varus')",2,0,2
"('Ashe', 'Braum', 'Galio', 'Graves', 'Skarner')",2,0,2
"('Braum', 'Jax', ""Kai'Sa"", 'Master Yi', 'Twisted Fate')",0,2,2
"('Hwei', ""Rek'Sai"", 'Taliyah', 'Varus', 'Yone')",0,2,2
"('Gragas', 'Gwen', 'Jayce', 'Katarina', 'Zeri')",2,0,2
"('Ashe', 'Corki', 'Elise', 'Gnar', 'Rumble')",2,0,2
"(""K'Sante"", 'LeBlanc', 'Lee Sin', 'Smolder', 'Xerath')",0,2,2
"('Ahri', 'Jinx', 'Lee Sin', 'Poppy', 'Rumble')",2,0,2
"('Ahri', 'Jinx', 'Rumble', 'Skarner', 'Xin Zhao')",2,0,2
"('Gragas', 'Jinx', 'LeBlanc', 'Talon', 'Thresh')",0,2,2
"('Alistar', 'Camille', 'Jhin', 'Rumble', 'Tristana')",2,0,2
"('Gnar', ""Kai'Sa"", 'Lee Sin', 'Milio', 'Zoe')",2,0,2
"('Cassiopeia', 'Jhin', 'Lee Sin', 'Lissandra', 'Thresh')",2,0,2
"('Hwei', ""Kai'Sa"", ""Kha'Zix"", 'LeBlanc', 'Nasus')",0,2,2
"('Ahri', 'Cassiopeia', 'Rakan', 'Skarner', 'Vi')",0,2,2
"('Diana', 'Rakan', 'Rengar', 'Talon', 'Zeri')",0,2,2
"('Aatrox', 'Hwei', 'Nautilus', 'Senna', 'Taliyah')",2,0,2
"('Azir', 'Jax', 'Viego', 'Zac', 'Zeri')",0,2,2
"('Darius', ""Kai'Sa"", 'Nautilus', 'Nidalee', 'Tristana')",0,2,2
"('Hwei', ""Kai'Sa"", 'Rengar', 'Seraphine', 'Skarner')",0,2,2
"('Camille', ""Kog'Maw"", 'Lulu', 'Taliyah', 'Viego')",0,2,2
"('Jinx', 'Nidalee', 'Qiyana', 'Skarner', 'Thresh')",2,0,2
"('Camille', ""Kai'Sa"", 'Lillia', 'Qiyana', 'Twisted Fate')",0,2,2
"('Ezreal', 'Gragas', 'Heimerdinger', 'Nautilus', 'Tristana')",2,0,2
"('Braum', ""Cho'Gath"", ""Kai'Sa"", 'Taliyah', 'Yone')",0,2,2
"('Corki', 'Kled', 'LeBlanc', 'Lee Sin', 'Seraphine')",2,0,2
"('Gragas', 'Jhin', 'Nautilus', 'Orianna', 'Xin Zhao')",0,2,2
"('Blitzcrank', 'Caitlyn', 'Gragas', 'Taliyah', 'Viego')",2,0,2
"(""Bel'Veth"", 'Cassiopeia', 'Nautilus', 'Tristana', 'Varus')",2,0,2
"('Alistar', 'Fiddlesticks', ""Kai'Sa"", 'Lissandra', 'Renekton')",2,0,2
"('Akali', 'Hecarim', 'Rell', 'Skarner', 'Zeri')",2,0,2
"('Blitzcrank', 'Fiddlesticks', 'Varus', 'Wukong', 'Yasuo')",2,0,2
"('Camille', 'Gragas', 'Nidalee', 'Tristana', 'Zeri')",0,2,2
"('Camille', 'Jinx', 'Lee Sin', 'Orianna', 'Thresh')",2,0,2
"('Ahri', 'Corki', 'Jarvan IV', 'Maokai', 'Skarner')",2,0,2
"('Corki', 'Hwei', 'Rumble', 'Seraphine', 'Twisted Fate')",2,0,2
"('Alistar', 'Nidalee', 'Samira', 'Skarner', 'Syndra')",0,2,2
"('Ashe', 'Lissandra', ""Rek'Sai"", 'Renata Glasc', 'Skarner')",2,0,2
"(""Kai'Sa"", 'Nautilus', 'Urgot', 'Viego', 'Xerath')",2,0,2
"(""Kai'Sa"", 'Lissandra', 'Rell', 'Renekton', 'Rengar')",0,2,2
"('Camille', 'Hwei', ""Kai'Sa"", ""Rek'Sai"", 'Rell')",2,0,2
"('Alistar', 'Ashe', 'Hwei', ""K'Sante"", ""Rek'Sai"")",2,0,2
"('Corki', 'Jhin', 'Lillia', 'Rell', 'Renekton')",0,2,2
"('Aurelion Sol', 'Braum', 'Caitlyn', 'Graves', 'Mordekaiser')",0,2,2
"('Ashe', 'Caitlyn', 'Camille', 'Elise', 'Jayce')",2,0,2
"('Fiora', 'Graves', 'Sylas', 'Taric', 'Tristana')",2,0,2
"('Ashe', 'Galio', 'Hecarim', 'Jinx', 'Rumble')",2,0,2
"('Caitlyn', 'Hecarim', 'Hwei', 'Kennen', 'Yone')",0,2,2
"('Caitlyn', 'Fiddlesticks', 'Lux', 'Riven', 'Tristana')",0,2,2
"('Braum', 'Gragas', ""Kai'Sa"", 'Rengar', 'Syndra')",2,0,2
"('Ekko', 'Graves', 'Jhin', ""K'Sante"", 'Karma')",0,2,2
"('Fiora', 'Rakan', 'Rengar', 'Zeri', 'Zoe')",2,0,2
"('Camille', ""Kai'Sa"", 'Kennen', 'Ornn', 'Viego')",2,0,2
"('Gwen', 'Heimerdinger', 'Twisted Fate', 'Varus', 'Viego')",2,0,2
"('Kennen', 'Miss Fortune', 'Rell', 'Viego', 'Zoe')",2,0,2
"('Corki', 'Fiora', 'Kindred', 'LeBlanc', 'Thresh')",0,2,2
"('LeBlanc', 'Lee Sin', 'Nautilus', 'Ryze', 'Twitch')",0,2,2
"('Fiora', 'Hecarim', ""Kai'Sa"", 'LeBlanc', 'Rell')",2,0,2
"('Ashe', 'Cassiopeia', 'Gragas', 'Graves', 'Taric')",0,2,2
"('Galio', 'Graves', 'Skarner', 'Varus', 'Vayne')",0,2,2
"('Draven', 'Irelia', 'Lee Sin', 'Orianna', 'Rell')",0,2,2
"('Katarina', ""Kha'Zix"", 'Mordekaiser', 'Nautilus', 'Varus')",0,2,2
"('Hwei', 'Lee Sin', 'Nautilus', 'Seraphine', 'Vayne')",0,2,2
"('Nautilus', 'Rengar', 'Taliyah', 'Viego', 'Zeri')",0,2,2
"('Alistar', 'Ekko', 'Gwen', 'Varus', 'Viego')",2,0,2
"('Aurelion Sol', ""Kai'Sa"", 'Kindred', 'Leona', 'Skarner')",2,0,2
"('Jayce', ""Kai'Sa"", 'LeBlanc', 'Skarner', 'Viego')",2,0,2
"('Alistar', 'Gragas', 'Pyke', 'Taliyah', 'Xayah')",0,2,2
"('Cassiopeia', 'Nautilus', 'Renekton', 'Varus', 'Viego')",2,0,2
"('Draven', 'Gwen', 'Jax', 'Rell', 'Tristana')",0,2,2
"('Fiddlesticks', 'Jax', 'Jinx', 'Leona', 'Xin Zhao')",0,2,2
"('Caitlyn', 'Hecarim', 'Hwei', 'Neeko', 'Skarner')",0,2,2
"('Ashe', 'Elise', 'Hwei', 'Renekton', 'Seraphine')",2,0,2
"('Aphelios', 'Master Yi', 'Nidalee', 'Skarner', 'Zilean')",2,0,2
"('Jayce', ""Kai'Sa"", 'Lillia', 'Riven', 'Thresh')",0,2,2
"('Camille', ""Kai'Sa"", 'Lillia', 'Nautilus', 'Twisted Fate')",2,0,2
"('Corki', 'Kalista', 'Karthus', 'Rell', 'Twisted Fate')",2,0,2
"('Blitzcrank', 'Hwei', 'Master Yi', 'Skarner', 'Twitch')",0,2,2
"(""Kai'Sa"", 'Nidalee', 'Rell', 'Tristana', 'Tryndamere')",2,0,2
"('Karthus', 'Skarner', 'Sylas', 'Tristana', 'Varus')",0,2,2
"('Blitzcrank', 'Corki', 'Gnar', 'Lillia', 'Viego')",0,2,2
"('Hwei', 'Miss Fortune', 'Pyke', 'Rumble', 'Viego')",2,0,2
"('Camille', 'Corki', 'Lillia', 'Nautilus', 'Senna')",0,2,2
"('Camille', 'Jinx', 'Lee Sin', 'Urgot', 'Veigar')",0,2,2
"('Corki', 'Diana', 'Renekton', 'Sett', 'Varus')",0,2,2
"('Fiora', 'Jinx', 'Leona', 'Taliyah', 'Tristana')",2,0,2
"('Kalista', 'Karthus', 'Kennen', 'Rell', 'Tristana')",2,0,2
"('Caitlyn', 'Milio', 'Xin Zhao', 'Yasuo', 'Zoe')",2,0,2
"('Jax', 'Rakan', 'Taliyah', 'Twitch', 'Vi')",2,0,2
"('Nautilus', 'Nidalee', 'Urgot', 'Varus', 'Yone')",0,2,2
"('Jinx', 'Lillia', 'Seraphine', 'Zac', 'Zoe')",2,0,2
"('Aatrox', 'Akshan', 'Jinx', 'Lillia', 'Taric')",0,2,2
"(""Kai'Sa"", 'Kindred', 'Nautilus', 'Viktor', 'Zac')",2,0,2
"(""Kai'Sa"", 'Kindred', 'Nasus', 'Nautilus', 'Zoe')",0,2,2
"(""Kai'Sa"", 'LeBlanc', 'Lee Sin', 'Nautilus', 'Renekton')",0,2,2
"('Ahri', 'Neeko', ""Rek'Sai"", 'Smolder', 'Varus')",0,2,2
"('Caitlyn', 'Jayce', 'Kennen', 'Morgana', ""Rek'Sai"")",0,2,2
"('Camille', 'Draven', 'Graves', 'Jax', 'Taliyah')",2,0,2
"('Aatrox', 'Nidalee', 'Qiyana', 'Rell', 'Zeri')",2,0,2
"(""Kai'Sa"", 'Rumble', 'Taliyah', 'Viego', 'Zac')",0,2,2
"('Ashe', 'Braum', 'Hwei', 'Jayce', 'Nidalee')",0,2,2
"('Akshan', 'Jinx', 'Kindred', 'Rumble', 'Taric')",2,0,2
"('Hwei', ""Kha'Zix"", 'Nautilus', 'Poppy', 'Zeri')",2,0,2
"('Corki', ""Kai'Sa"", 'Nautilus', 'Renekton', 'Taliyah')",0,2,2
"('Camille', 'Lissandra', 'Rumble', 'Varus', 'Viego')",0,2,2
"('Fiddlesticks', 'Jhin', 'Leona', 'Pantheon', 'Taliyah')",2,0,2
"('Corki', 'Irelia', 'Nautilus', 'Viego', 'Vladimir')",2,0,2
"('Braum', 'Hwei', 'Lucian', ""Rek'Sai"", 'Rumble')",2,0,2
